CODE,POLITICS,POPULATION,AGE25_PROPTN,AGE_MEDIAN,AGE50_PROPTN,POP_DENSITY,GDP,INFANT_MORT,DOCS,VAX_RATE,HEALTHCARE_BASIS,HEALTHCARE_COST,DEATH_RATE,OBS_TYPE,GROCERIES
State1,STABLE DEM,3170.55770891387,18.3360008172505,37.0820785367727,39.0829364722026,499.576587443053,54.2493715368307,12.4899333969469,26.4256110329142,56.3326771353353,FREE,,24.67719720284,Test,jam%bread%cocoa%pork%butter%rolls%dressings%chicken
State2,STABLE DEM,4317.65147149254,15.346886151423,33.3514248802717,39.352513024279,498.235440640802,56.4664043944705,12.8180872034051,19.8299369857779,59.0809914535587,INSURANCE,4907.11722918037,15.3688178622006,Test,cocoa%coffee%chocolate%salt%beef%cheese%stationery
State3,STABLE DEM,4621.41392001677,,35.5757929770218,37.4053439196938,,,14.2745456130261,19.9078289046808,57.9486258329897,FREE,,16.1340549818522,Train,tea%jam%cocoa%butter%sugar%wine
State4,STABLE DEM,2595.62637310845,12.94107655215,,41.4164801014804,486.430541444677,57.2070718105794,14.8342334608296,24.369449932392,61.9418019092375,FREE,,14.7503169533187,Train,magazine%lamb%chocolate%milk%soft drink%cheese%crisps%coffee
State5,STABLE DEM,,14.5550259315128,31.8451923337791,38.9959008892071,,61.6022043368258,12.4271013964286,,56.085498373962,INSURANCE,4708.53665524253,15.2823173516755,Test,flour%magazine%salads%crackers
State6,UNSTABLE DEM,1889.42378875433,12.0824441489933,,,506.68627360691,,,27.8091333870238,57.3359254994345,INSURANCE,4819.94565533416,26.3402861729804,Train,cocoa%coffee%dressings%salads%magazine%soft drink%beer
State7,--,1603.35281477211,,31.4212359027628,,518.937754517182,54.2481693651423,,21.4024945380459,64.7051175345787,PRIVATE,14987.7278259618,23.2110163389772,Train,coffee%rolls%stationery%cordial%dressings%cheese%milk%pork%lamb%biscuits%sauces
State8,OTHER,2142.47404443337,10.3724352115828,31.561246858418,,,56.5202407587065,15.7353986780896,20.4906101015432,,INSURANCE,5022.71380923701,15.1136875549038,Test,chocolate%wine%sugar%cordial%beef%crisps%sauces%pork
State9,UNSTABLE DEM,,12.4595292782055,28.7010638695027,34.8872273083187,504.395172061804,,,24.161001406889,61.8166902687192,PRIVATE,15283.7280220057,19.9449336218296,Test,pork%flour%salads%stationery%condiments%rolls
State10,UNSTABLE DEM,5829.91211824737,17.0588740116061,34.1870221063184,40.0250246520396,497.726410559677,54.5521358701836,13.0053697441203,22.2657834090971,60.4444353670277,FREE,,18.7076074439041,Test,magazine%beer%stationery%cider%crisps
State11,UNSTABLE DEM,3842.38979277519,13.7626954490797,,38.4664273770325,487.98676013732,52.5668934327153,11.719422094064,19.264917623415,61.6888156797975,INSURANCE,4453.83034255095,8.992223598783,Train,detergent%soft drink%crackers%cider%vegetables%wine%chicken%lamb%crisps%rolls
State12,STABLE DEM,4739.7947675362,16.8584126977888,35.45765779546,40.7800577015423,,18.4070598667287,,,38.0772878761982,INSURANCE,5149.32853598188,26.2458803065384,Train,vegetables%biscuits%sugar%cordial%beef
State13,UNSTABLE DEM,4865.06540209153,18.6925574135073,36.7718660734718,44.5755879039471,,63.3470379588746,11.9677757356068,,,INSURANCE,4646.62234063741,16.4572790221187,Test,butter%detergent%flour%tea%sauces
State14,UNSTABLE DEM,,18.5251564879296,36.404927195671,,502.302650739214,51.7623118395188,10.6458680919046,,59.7824451708382,FREE,,16.5137874141463,Test,lamb%condiments%cleaner%pork%bread%beef%rolls%cordial%butter%cheese%stationery
State15,OTHER,1025.17159501418,12.6591115925398,,,,57.7506002359235,,25.0644626807135,57.2345300734792,PRIVATE,14989.8443413707,25.2253177244905,Test,cocoa%salt%coffee%lamb%crackers%bread
State16,STABLE DEM,2887.10506022378,,,40.3036228150639,,57.5920587061471,,19.5075903657112,62.2538876307423,FREE,,21.9483829186254,Train,cheese%coffee%pork%detergent
State17,STABLE DEM,3358.42796417765,9.79461066004473,32.8309449466585,35.3359085415914,490.796780141552,57.0085136628723,17.7960554352856,22.7802772601663,16,FREE,,16.6467555420347,Train,sauces%chocolate%flour%vegetables%beer%wine
State18,UNSTABLE DEM,,13.753833384859,,,500.18993920964,,12.3966071822166,21.081079959477,59.680487934576,INSURANCE,4900.36372110339,16.410516229884,Train,soft drink%stationery%cheese%biscuits%lamb%wine
State19,UNSTABLE DEM,2785.77337551565,16.8224658907119,,41.3071949647739,491.442748787511,57.1901918680123,13.4473131405933,22.3918140919894,60.4687670606229,INSURANCE,4770.9476656662,15.3411251672355,Test,biscuits%chocolate%beer%cheese%chicken
State20,STABLE DEM,3090.19987761924,13.1622008690445,32.020702691623,-99,,57.8081000508322,,-99,-99,INSURANCE,4905.9589963323,14.3151684138205,Test,stationery%cleaner%sugar%cocoa%chicken%fuit%bread%lamb%cordial
State21,STABLE DEM,2035.44411623171,16.8265998145968,,41.1488424641604,492.901703002811,54.8910712261119,13.2596913476077,25.2874783418593,57.0596488962295,INSURANCE,4952.09664504739,20.6924855616177,Train,fuit%rolls%detergent%cocoa%lamb%cordial%dressings%coffee%tea%stationery
State22,STABLE DEM,1249.06861657697,14.5319943040912,31.6338102937654,37.4537618129317,481.771489146906,60.0883986388391,11.4862539104144,20.6150055368713,55.8250012339627,INSURANCE,4728.67739266552,7.14258773478422,Train,wine%detergent%crackers%beef%stationery%cocoa%sugar
State23,UNSTABLE DEM,1191.17505689658,11.6937045709142,,39.465969267799,496.443538019812,54.7577617069235,15.3075547464982,21.7384456277643,-99,PRIVATE,14205.1475655134,15.3936756917057,Train,milk%beer%crackers%magazine%cleaner%coffee%detergent
State24,STABLE DEM,3196.81720986373,14.9692119057562,32.2468146466893,38.8678583023031,501.19241798655,,,,61.212974272352,FREE,,19.7435657727628,Train,salt%flour%beef%crisps%fuit%cocoa%biscuits%lamb%salads%beer%magazine
State25,UNSTABLE DEM,809.992524203913,11.3288378950963,,39.0816054842123,494.775934956975,52.3735205046613,15.1606606835679,24.2488806318123,60.10129533359,PRIVATE,15300.9357726643,15.668260224311,Train,wine%crackers%dressings%salads
State26,UNSTABLE DEM,3712.17036970251,12.4313031607044,32.0685344547314,36.4025305044998,486.263542412206,49.6323820004359,14.4366635051659,26.2644140161012,64.4051559122021,INSURANCE,5089.74054829517,13.1100087425834,Train,crisps%vegetables%chicken%condiments%dressings%sauces%fuit%flour%soft drink%milk
State27,STABLE DEM,,,34.1350461039024,,523.549094490588,61.4099423335151,12.0760373104417,16.8360311307116,64.0352149656925,PRIVATE,15003.2748796907,22.9299552106193,Train,lamb%cordial%magazine%butter%pork%tea%coffee
State28,STABLE DEM,3114.34633358313,17.0531175075858,,36.2635673941494,492.533471324133,56.6317514258773,12.5689741241509,22.8371006385504,63.1444043456611,FREE,,13.5229003574179,Train,magazine%salads%biscuits%milk%cleaner%bread%condiments%cordial
State29,UNSTABLE DEM,3939.60950717742,,37.6783562046999,40.1378650211549,,,12.0672519881016,20.6529781202355,56.9751558781284,INSURANCE,5008.4497407351,23.5393183460214,Train,cordial%sauces%coffee%detergent
State30,STABLE DEM,6025.56948626718,16.5735755962234,,,507.613338108026,53.5371254764956,,,60.2204192924818,FREE,,26.6762078540595,Test,sugar%cocoa%butter%cider%tea%salads%biscuits%beef%condiments%salt%wine
State31,STABLE DEM,,,,,503.227699903952,58.3327228276978,11.6890106582282,20.4233292627,56.3492736148776,INSURANCE,5184.8952546562,16.1900448672446,Test,crisps%sauces%stationery%cheese%sugar%bread%rolls
State32,UNSTABLE DEM,3868.30984172224,,,,503.44097494988,60.8616547452163,,22.1941193770878,-99,INSURANCE,4451.1237865112,20.1549193135719,Train,wine%cleaner%chocolate%pork%flour%detergent%magazine
State33,STABLE DEM,2756.67138856671,16.5586707963888,,41.9437706086291,,,12.941060850759,,57.7963258158272,INSURANCE,4972.47916673548,19.7260495466539,Test,cocoa%wine%dressings%detergent
State34,UNSTABLE DEM,2476.29432439081,18.8213585423802,,40.0548537579562,490.826854766144,57.5204054852539,11.6193140551506,21.5840442719911,-99,INSURANCE,5013.95722886578,14.2973790675791,Test,chicken%dressings%beef%milk%cider%vegetables%salads%magazine%bread
State35,OTHER,611.907974200681,12.4959187096904,,38.8340933895918,482.553710895809,53.8982268879273,12.6016741905851,22.8543103706262,54.7508255872785,FREE,,12.9665332528235,Test,bread%wine%chicken%rolls%stationery
State36,STABLE DEM,3199.93021751257,14.8605354024989,,38.6889011520004,492.888751199981,55.1140963138416,14.0747147974044,21.4480624764232,61.0851080642435,PRIVATE,14913.5946558536,15.3056209891418,Train,sugar%milk%condiments%crackers%tea%pork%dressings%chicken%cocoa
State37,UNSTABLE DEM,,13.856147996687,,39.0701268224872,,57.355363487004,15.1332679532898,23.081113168621,,PRIVATE,15023.5540345398,20.7796580606773,Train,cordial%flour%tea%condiments%butter%wine%cleaner
State38,UNSTABLE DEM,1032.56202548532,18.0025201609865,,35.0263950139481,513.514793474109,,16.0548595759372,,,PRIVATE,14573.7045238745,28.4182508929365,Train,chocolate%soft drink%jam%cleaner%stationery
State39,UNSTABLE DEM,5677.9318365407,18.8697197245369,37.8975339179528,42.5293504747077,480.241497994244,58.4973983717122,11.8357827079276,18.2441369408716,58.8045376107957,INSURANCE,4968.09901420414,6.39784031020827,Train,soft drink%lamb%biscuits%pork%stationery
State40,STABLE DEM,,17.0415565143249,34.5958254249895,33.768110200341,500.978638663468,48.6091336650717,,23.6947522355749,,FREE,,19.036039103248,Train,condiments%fuit%cheese%cider%sugar%detergent%beer%jam
State41,STABLE DEM,1116.98207295313,,34.424332357181,43.5195908559056,501.366520635003,55.5925074323296,,,65.6987644341811,INSURANCE,5128.99329518834,15.7893776193304,Train,bread%sauces%coffee%wine%salads%crackers%vegetables%condiments%pork%magazine%stationery
State42,UNSTABLE DEM,,,,41.2622033200037,519.634313975109,52.2511706023985,15.5008274167822,23.0221708329344,,FREE,,28.6550826037708,Train,cider%salads%cheese%coffee%rolls%sauces%cleaner%stationery
State43,UNSTABLE DEM,2022.95108025877,12.6941270665143,,36.985676969365,496.129685206531,56.8315976513328,16.5673788634651,25.5795899042989,63.5063510553935,INSURANCE,5113.40071301242,18.6047590880167,Train,cider%detergent%beer%wine%biscuits%chicken%cordial%crackers
State44,STABLE DEM,4539.63244220817,15.0659718765855,,34.3356971382813,495.283298152312,50.8129983549866,13.4516620396437,25.6468868079963,60.4553942487162,INSURANCE,4351.0339579035,16.8474353865682,Train,salads%cordial%tea%dressings%fuit%jam%salt%beef%butter%cocoa
State45,UNSTABLE DEM,3322.3498303569,13.7224927953099,,32.8191460836608,485.202679659753,45.7377841581023,14.5664619804928,27.7928697387368,61.486367622367,INSURANCE,4999.70112372827,13.5653851570851,Test,tea%cleaner%cider%beer%beef%jam%rolls
State46,UNSTABLE DEM,3275.33804666015,,30.901940707649,,,56.6310082631124,14.8905199408262,23.4701624707859,56.2522767571777,INSURANCE,4947.81720460369,24.5914691890285,Train,chicken%sugar%cider%sauces%condiments%salads%coffee%biscuits%chocolate%salt%bread
State47,OTHER,3882.10659506779,19.9283539283608,38.1305053265266,42.2942900817301,496.116698067428,62.430049952127,14.5091903244556,25.6238364922018,58.489500068578,INSURANCE,5158.38850830785,22.474208038772,Test,biscuits%lamb%cocoa%jam%sauces%bread%vegetables
State48,UNSTABLE DEM,5984.43786703889,,,46.4035764416888,514.515989038285,,13.835170142578,,62.5978909385154,FREE,,25.2358283077412,Train,dressings%beer%wine%stationery
State49,UNSTABLE DEM,7821.67289385519,15.2176968852176,,38.6488754716242,493.171457267591,56.4016921153868,13.7172803384207,26.9988094070633,16,FREE,,21.7562720829438,Train,salt%beef%jam%magazine%chicken%cider%soft drink%wine%crisps%sugar%tea
State50,--,2683.44792027985,-99,34.6823017767327,,524.586955930283,57.0202544154105,,22.5631788427226,,INSURANCE,5021.9370827795,28.689040861513,Test,beef%sauces%cordial%stationery%salt%lamb%dressings%magazine
State51,UNSTABLE DEM,,14.6598856447763,34.9836536607645,37.1974276997181,,58.9935756681264,13.3530798085167,21.110473579176,,PRIVATE,15067.6874113504,15.3730388811311,Train,cleaner%butter%milk%cocoa%chocolate
State52,UNSTABLE DEM,3780.77813582965,17.0428465593792,,40.4484208867572,494.04723546785,55.7734870503519,14.3712636365976,25.8648479419563,55.9161960475224,INSURANCE,4787.17685944384,22.9653882721722,Train,dressings%bread%flour%salt
State53,STABLE DEM,714.538374323502,17.4886301031644,34.9982840531504,33.9743748761395,499.66348490758,54.6880482843739,10.6121666880314,20.6200122363525,59.8439877694775,FREE,,14.6541478381456,Test,lamb%crisps%chocolate%cleaner%beer%cider%butter%detergent%crackers%magazine%vegetables
State54,STABLE DEM,1482.01262040856,11.1311392753489,,39.1207707117207,,58.1555916142301,,22.3873880124451,,INSURANCE,4904.74585475313,20.6435402867965,Train,chicken%lamb%flour%salads%pork%bread%cocoa
State55,STABLE DEM,3511.69329884299,14.0177271768202,,-99,505.326118986012,,,-99,-99,FREE,,26.2634614078087,Train,beer%cheese%cleaner%salads%biscuits
State56,UNSTABLE DEM,6127.47579893362,,35.9462590055118,42.9679215220458,501.006830716985,,,23.1060797446115,16,INSURANCE,4748.82143083524,20.9844438829755,Train,salads%magazine%tea%wine%sauces%coffee%bread%cocoa%butter
State57,STABLE DEM,,12.6324985473766,,39.6087002497809,516.590329356747,,14.7141158473179,,58.6047539814322,INSURANCE,4947.54879875725,25.8440548398973,Train,detergent%sugar%cheese%cocoa%crackers%biscuits
State58,STABLE DEM,4084.80162629887,,33.3948263218919,,505.176723315685,59.9476882177015,,17.7282801245647,62.945176926452,INSURANCE,5012.67567520042,16.029741294512,Train,beer%coffee%wine%beef%salads%lamb%pork%condiments%magazine
State59,DICTATORSHIP,,13.7933057198152,32.6540743831946,,511.502882442509,51.2989529884701,12.5380061903853,23.0082953629584,,FREE,,22.2410070474475,Test,detergent%chocolate%wine%crackers%condiments%beer%butter%fuit%soft drink
State60,STABLE DEM,,12.479764873525,,35.9114770643387,500.710381886728,,14.7118017521,25.4057322413811,,INSURANCE,5058.57239556978,21.2579737116412,Test,sauces%tea%fuit%wine%jam%flour%magazine%beer%coffee
State61,STABLE DEM,4564.03404685905,17.7435690439873,,,,62.2818208400594,15.7728358174161,25.9411157495149,,INSURANCE,5059.3265938145,25.6448510811216,Train,dressings%stationery%condiments%cider%cleaner
State62,OTHER,1490.6303026303,15.1144714233537,,36.7474040080479,496.323454579592,54.1198668216904,15.2402315696977,25.8784364752369,61.6048169058179,INSURANCE,5204.04939651728,18.836737575509,Test,crackers%wine%crisps%cheese
State63,UNSTABLE DEM,6425.63828692417,14.3718764450357,,35.6335104979964,493.671051490178,53.8754101671143,13.9831950409608,24.4725678345146,59.7190762478304,INSURANCE,5233.27203656668,16.4155639788562,Train,salt%flour%tea%fuit%beer%biscuits%dressings%cider%vegetables%coffee%chocolate
State64,UNSTABLE DEM,,17.1170669611751,34.1819071221936,,510.636259344469,53.7679802397253,,27.5462855767688,57.0731516549806,INSURANCE,5007.25519961825,29.7054754021528,Test,cheese%salt%cleaner%cocoa%condiments%bread%cider
State65,STABLE DEM,6018.43126968341,13.2000581046599,34.0174810628819,35.7954328111464,498.845765660113,51.0627394756016,15.342434146295,25.7040855760252,58.7086774680863,INSURANCE,4774.86859669971,20.3881426270034,Test,cleaner%lamb%cocoa%crackers
State66,UNSTABLE DEM,2103.39165219345,12.0072796013902,33.2037799478442,39.7138028915688,486.654385437382,57.7977444491373,15.3157559565018,22.9842607826853,57.0570714056296,INSURANCE,4764.41515433288,14.0435416026255,Test,stationery%chocolate%coffee%salads%rolls%salt%beer%beef%flour%soft drink%sauces
State67,UNSTABLE DEM,433.926237698564,15.0929572267999,,,,,12.6290426435741,21.252628981473,63.2302927585822,INSURANCE,4777.67244091412,19.2753562929559,Test,salt%cleaner%lamb%flour%cider%coffee
State68,UNSTABLE DEM,3234.02968878601,15.2572411917183,34.1015438863428,40.6375583034895,492.188764061805,58.1631061953934,14.8197367188898,23.053100428646,64.8372019590133,INSURANCE,4957.86550434335,14.0233067473377,Train,pork%coffee%rolls%butter%bread%chicken%flour%biscuits%detergent%salt
State69,UNSTABLE DEM,6868.77355046001,,,38.614996276153,,49.7082685648482,,28.9781217197732,60.6652959346374,FREE,,28.2005342985119,Test,wine%salads%cider%salt%bread%rolls
State70,DICTATORSHIP,2656.60606795642,13.6929382137576,36.9287878556709,38.9516289707046,,,,25.5719191562964,63.1058535620135,INSURANCE,4842.36114239917,22.9912386875207,Train,butter%cider%salads%rolls%coffee%biscuits%sauces
State71,UNSTABLE DEM,,16.4991328152937,,38.7676403293837,512.416477363242,,13.3897082807425,,60.6800564592675,PRIVATE,14865.3884284618,24.4031961126874,Test,beer%crackers%coffee%wine%milk%condiments%stationery%fuit%cider
State72,UNSTABLE DEM,,15.0517956554509,34.8211380789492,-99,,54.1371311284918,,-99,-99,FREE,,27.7832896013698,Train,rolls%cordial%chicken%milk%cider%bread%sauces
State73,UNSTABLE DEM,,,36.9808502008479,35.8523401868398,501.155993209519,55.0509891177247,17.6377106338234,,61.2809688285383,INSURANCE,5149.87832935255,20.8432708758558,Train,sugar%magazine%cordial%biscuits%cider%butter%bread%rolls%coffee%milk
State74,,,,,,500.133705966741,50.0380794943393,,23.001212162006,,INSURANCE,5152.18109718946,20.1287769488285,Train,condiments%rolls%lamb%tea%crackers%soft drink%stationery
State75,STABLE DEM,223.502885741037,16.4996314118672,,39.9184619010639,499.940143081797,55.8470214994197,13.1512962479522,20.607238131372,62.3358998967762,PRIVATE,15447.5155329454,14.9712668023647,Test,jam%salads%sugar%lamb%detergent%flour%crackers%rolls%condiments
State76,DICTATORSHIP,2058.42138400629,,34.8503965345493,,,61.2652593137039,14.0415353935864,20.8166690049898,54.7310467554701,INSURANCE,5011.60890283556,20.8603200321794,Test,soft drink%chicken%milk%detergent%cocoa%pork%tea%butter
State77,UNSTABLE DEM,6098.43515927419,12.905679361607,,36.0363591142667,485.792921570181,54.99520723884,13.785835061991,20.2290452260605,-99,PRIVATE,14966.3229556024,8.91206702229719,Train,magazine%lamb%biscuits%rolls%salads%fuit%flour%beer%butter%crackers
State78,STABLE DEM,1609.6758321266,17.4946449624098,38.249719691244,37.4400676094756,498.950095889862,56.5802158697935,14.2848179626114,23.4240724545198,62.1014797453291,PRIVATE,13975.6076291416,16.8615142449788,Test,soft drink%fuit%cleaner%vegetables%beef%crisps%wine
State79,STABLE DEM,,12.6450755503158,,41.2153166648119,516.488487292328,57.9650652581812,,,66.7537153122049,PRIVATE,15162.040479801,22.0450067771233,Train,biscuits%milk%chicken%sugar
State80,STABLE DEM,,13.7402386384262,32.0119116167782,,503.833967975515,53.5944769810282,15.1758650364274,26.7111332317885,,INSURANCE,4775.68107052503,22.7691064657716,Train,stationery%coffee%pork%detergent%butter
State81,STABLE DEM,3080.97082843355,11.7761536019381,,37.1190988855071,,53.8726790700764,14.8603973822069,,,FREE,,22.604671293111,Train,biscuits%jam%salt%crackers%cordial%sauces%butter
State82,STABLE DEM,2760.95050907442,,35.7673735018751,39.7832314898278,,57.3052091501306,,16.8769743020705,64.5328900042262,INSURANCE,5454.03551621325,14.8268696979215,Train,cordial%bread%chicken%milk%chocolate%coffee%beer
State83,UNSTABLE DEM,,17.5206933164574,,,507.487829297993,59.5225686508325,,25.0331042373882,62.8847442462936,PRIVATE,14688.4427921757,25.4363954025521,Train,salt%crisps%stationery%salads%lamb%detergent%cordial
State84,UNSTABLE DEM,,,30.5084772875007,,505.902112061846,58.5056932971911,12.331052153581,17.4562161490473,59.544889356089,INSURANCE,5070.74596680123,17.2513740982479,Train,crisps%vegetables%stationery%jam%milk%bread%cider%cheese
State85,UNSTABLE DEM,4911.22002665222,13.8856505027069,30.2901895826668,,,58.8742498074528,,22.0849071760395,61.8448546548702,FREE,,17.5198593216948,Train,dressings%pork%biscuits%salt%cleaner%cocoa%butter
State86,UNSTABLE DEM,6501.36887723012,17.0652323155272,36.7864540155167,39.5973911609104,497.266169288849,57.9742195043799,15.2670423143783,26.295202458746,54.5206795001165,PRIVATE,15324.5167398754,23.5435759908173,Train,biscuits%magazine%beer%salt%salads%dressings%condiments%pork%bread
State87,UNSTABLE DEM,2485.98688974867,15.3959652730692,36.6921178296464,35.5426830669085,498.05762736258,53.8660792559365,13.2250051082421,22.7285840310444,59.393962579006,FREE,,15.6269398721683,Train,biscuits%wine%salt%vegetables%crisps%beef
State88,STABLE DEM,1583.40384179661,,31.4682834945349,39.7127540008618,,58.6925290664767,16.2820426753158,24.2678327946226,,INSURANCE,5328.07056279154,19.7992666743147,Test,cleaner%crackers%chocolate%sugar
State89,STABLE DEM,,17.7857117746578,,40.7120229158733,521.880609136461,59.1295774901411,14.8071371446237,,,INSURANCE,5044.94673516481,32.9899138525626,Train,beer%tea%coffee%wine%cocoa%sugar%beef%soft drink
State90,DICTATORSHIP,2771.88189428275,,36.5335692757228,38.4919234948727,507.454146382514,,,23.8415472199469,60.3760674840227,PRIVATE,14857.9132074968,22.466321361737,Train,tea%bread%soft drink%coffee
State91,STABLE DEM,5249.1873316623,,35.6482130735194,-99,509.92815466232,54.5612037569095,11.0110858685595,-99,-99,INSURANCE,4970.2320092697,17.2021198910268,Train,biscuits%rolls%vegetables%crisps%crackers%chicken%pork%cheese%lamb
State92,UNSTABLE DEM,,14.0938978495668,35.1930015150013,38.6215883291419,,,15.1817100815004,21.7372081706692,-99,INSURANCE,5178.93980788757,19.9511147379192,Train,magazine%coffee%beer%cider%detergent
State93,STABLE DEM,2740.03301895498,17.5242163521394,,,,54.4214419851785,13.9657213972719,28.1302554917973,,PRIVATE,14753.0258656003,30.5457670362497,Train,sugar%tea%stationery%lamb%soft drink%coffee%wine%sauces%vegetables
State94,UNSTABLE DEM,4876.53657373815,,35.5644572928341,-99,509.762233613432,,,-99,-99,FREE,,28.3761803201791,Test,stationery%wine%biscuits%bread%crackers%lamb%sauces
State95,UNSTABLE DEM,,16.1331612624004,,41.4488775445095,501.783650393151,,,17.837407556214,57.4288484490339,INSURANCE,5028.22812860575,15.2371173893624,Train,rolls%cheese%jam%tea%salt%cocoa
State96,STABLE DEM,973.335357234664,15.7906318062717,33.7026454896008,35.7888132587823,499.899061052697,57.7870134452411,13.6390892966596,24.5642634929923,58.6126399899796,INSURANCE,5122.54766637525,19.043953468628,Test,condiments%sugar%jam%cider%vegetables%beer%rolls%soft drink
State97,UNSTABLE DEM,1471.35396676718,,32.5145623130887,42.040011568187,,,14.5875769662596,20.2030915909842,33.8825844167219,INSURANCE,4927.75865349974,31.5117460378805,Train,flour%butter%vegetables%crisps%crackers%soft drink
State98,STABLE DEM,5427.39157225568,9.88676107638898,33.8205907424818,,,55.2502194296776,16.7072793651707,,59.4287325596871,PRIVATE,15013.390505242,23.2645903523452,Train,magazine%sugar%pork%fuit%crisps%salads%cordial
State99,STABLE DEM,,16.7641431522863,36.1481794921545,40.6731209921238,,53.4473853208815,,26.175444082094,55.6523614908434,INSURANCE,4967.40930434303,25.3210466634965,Train,coffee%detergent%pork%beef%crisps%salt%milk
State100,UNSTABLE DEM,,13.8420330824361,,,510.427327974162,56.1308335519065,13.396836113596,,64.1282172572068,INSURANCE,4930.33013561352,16.7072940120257,Train,tea%rolls%magazine%biscuits%cocoa
State101,,,,,,508.993594470072,49.6855456600342,,-99,,PRIVATE,15321.3697622444,22.4797045893794,Train,cheese%jam%soft drink%stationery%cordial%beef%rolls%crisps%pork%sauces%magazine
State102,UNSTABLE DEM,1211.93256744534,11.8401543230395,,35.1830869811295,497.56504143644,54.2353603379303,13.4601628188957,19.1665993128235,60.5844581903593,INSURANCE,4926.67120048768,11.569809791237,Train,magazine%cleaner%rolls%vegetables%sauces%bread%crisps%condiments%cordial%cheese%chicken
State103,STABLE DEM,4957.93292085786,15.4194272514924,,42.0795318714556,487.875091568792,15.6663205572759,15.4608672029034,30.6549048098739,34.9244431195439,PRIVATE,14417.4836142372,32.7943755248524,Train,salt%chicken%cordial%salads%wine
State104,UNSTABLE DEM,3396.99660128409,17.1821875979882,34.2145283811593,37.3875916947049,499.544134110856,62.4706747670211,12.7039247632461,20.7931818327545,62.820058924227,INSURANCE,4896.03595481845,13.6102445516276,Train,pork%cheese%jam%fuit%sugar%stationery%dressings%vegetables%cider%coffee%beef
State105,STABLE DEM,432.096624671858,14.8792252336334,34.9959363751327,40.5961818096769,493.236933097554,54.7486414278673,14.3413861542032,24.4843595095047,62.3270633964508,FREE,,18.8802548775475,Test,stationery%beef%salt%cocoa%salads%milk%jam%flour%cheese%sugar
